Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,39,218,850,391,Online
Foot Locker,1185732,6/7/2021,Southeast,South Carolina,Charleston,Women's Athletic Footwear,47,218,1025,461,Online
Amazon,1185732,12/2/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,55,218,1199,611,Online
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Men's Street Footwear,28,218,610,336,Online
Sports Direct,1197831,10/11/2021,South,Texas,Dallas,Men's Athletic Footwear,27,218,589,265,Outlet
Sports Direct,1197831,8/26/2021,South,Alabama,Birmingham,Men's Athletic Footwear,16,218,349,171,Outlet
Sports Direct,1128299,7/12/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,37,218,807,371,Outlet
West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,46,217,998,449,Online
West Gear,1128299,1/29/2021,West,California,San Francisco,Women's Apparel,65,217,1411,339,Online
West Gear,1128299,7/7/2020,West,Washington,Seattle,Men's Street Footwear,80,217,1736,781,Online
Foot Locker,1185732,8/20/2020,Southeast,Florida,Miami,Women's Street Footwear,32,217,694,243,Online
West Gear,1185732,9/8/2020,Southeast,Florida,Miami,Women's Athletic Footwear,47,217,1020,408,Online
Sports Direct,1197831,4/9/2021,South,Tennessee,Knoxville,Men's Street Footwear,36,217,781,398,Online
West Gear,1185732,11/9/2021,Northeast,New York,Albany,Men's Street Footwear,56,217,1215,668,Online
West Gear,1197831,7/6/2021,West,Idaho,Boise,Men's Street Footwear,48,217,1042,521,Online
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Women's Street Footwear,29,217,629,233,Online
Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,33,217,716,258,Outlet
Kohl's,1189833,3/9/2021,West,California,San Francisco,Women's Street Footwear,36,217,781,328,Outlet
Sports Direct,1197831,10/8/2021,South,Alabama,Birmingham,Women's Street Footwear,47,217,1020,551,Outlet
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Athletic Footwear,66,217,1432,587,Outlet
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,50,217,1085,456,Outlet
Kohl's,1128299,12/25/2021,West,New Mexico,Albuquerque,Men's Athletic Footwear,47,217,1020,479,Outlet
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,43,216,929,464,Online
Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,43,216,929,437,Online
Kohl's,1189833,3/19/2021,West,California,Los Angeles,Men's Street Footwear,32,216,691,346,Online
Kohl's,1189833,4/26/2021,West,California,Los Angeles,Men's Athletic Footwear,46,216,994,378,Online
Walmart,1128299,12/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,72,216,1555,622,Online
Kohl's,1185732,1/14/2021,Northeast,New York,Albany,Men's Street Footwear,39,216,842,531,Online
Sports Direct,1185732,3/15/2021,Midwest,Michigan,Detroit,Men's Street Footwear,34,216,734,448,Online
West Gear,1128299,12/16/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,72,216,1555,778,Online
Foot Locker,1185732,2/7/2021,Southeast,South Carolina,Charleston,Women's Apparel,34,216,734,477,Online
West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,51,216,1102,275,Outlet
West Gear,1128299,3/9/2020,West,Nevada,Las Vegas,Men's Street Footwear,47,216,1015,376,Outlet
Foot Locker,1128299,7/22/2021,West,Arizona,Phoenix,Men's Street Footwear,40,216,864,320,Outlet
Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Men's Street Footwear,24,216,518,238,Outlet
Amazon,1185732,6/19/2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,44,216,950,437,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,56,215,1204,506,Online
Kohl's,1189833,5/20/2021,West,California,Los Angeles,Men's Athletic Footwear,54,215,1161,441,Online
Sports Direct,1197831,9/17/2021,South,Texas,Dallas,Men's Athletic Footwear,48,215,1032,557,Online
West Gear,1185732,9/13/2020,Southeast,Florida,Miami,Women's Street Footwear,50,215,1075,398,Online
Sports Direct,1185732,9/30/2020,Southeast,Florida,Miami,Men's Athletic Footwear,47,215,1011,455,Online
Sports Direct,1197831,4/15/2021,South,Tennessee,Knoxville,Men's Street Footwear,36,215,774,441,Online
Sports Direct,1197831,9/7/2021,South,Alabama,Birmingham,Men's Athletic Footwear,49,215,1054,674,Online
Sports Direct,1185732,12/5/2021,Southeast,South Carolina,Charleston,Women's Street Footwear,56,215,1204,421,Online
Sports Direct,1185732,11/3/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,44,215,946,520,Online
Walmart,1185732,8/17/2021,South,Mississippi,Jackson,Men's Street Footwear,56,215,1204,650,Online
Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,30,215,645,310,Outlet
Kohl's,1189833,3/14/2021,West,California,Los Angeles,Men's Athletic Footwear,30,215,645,200,Outlet
Kohl's,1189833,4/15/2021,West,California,Los Angeles,Women's Street Footwear,36,215,774,348,Outlet
Sports Direct,1197831,8/18/2021,South,Texas,Dallas,Men's Athletic Footwear,23,215,495,178,Outlet
Sports Direct,1197831,9/12/2021,South,Texas,Dallas,Women's Street Footwear,30,215,645,252,Outlet
Sports Direct,1197831,8/19/2021,South,Alabama,Birmingham,Men's Street Footwear,15,215,323,168,Outlet
Foot Locker,1128299,8/24/2021,Southeast,Virginia,Richmond,Women's Street Footwear,53,215,1140,422,Outlet
West Gear,1128299,8/24/2021,West,Oregon,Portland,Women's Street Footwear,50,215,1075,430,Outlet
West Gear,1197831,4/5/2021,West,Idaho,Boise,Men's Street Footwear,15,215,323,135,Outlet
West Gear,1197831,4/5/2021,West,Idaho,Boise,Men's Athletic Footwear,21,215,452,176,Outlet
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Men's Street Footwear,17,215,366,161,Outlet
Amazon,1185732,8/11/2021,Northeast,Vermont,Burlington,Men's Street Footwear,42,215,903,461,Outlet
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,23,213,490,245,Online
Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,41,213,873,402,Online
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,50,213,1065,682,Online
Kohl's,1189833,5/7/2021,West,California,Los Angeles,Men's Street Footwear,47,213,1001,541,Online
Sports Direct,1185732,10/10/2020,Southeast,Florida,Miami,Women's Apparel,64,213,1363,818,Online
Walmart,1128299,8/17/2021,Southeast,Florida,Orlando,Men's Street Footwear,87,213,1853,760,Online
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,26,213,554,277,Outlet
Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,28,213,596,286,Outlet
Kohl's,1189833,5/16/2021,West,California,Los Angeles,Women's Athletic Footwear,33,213,703,295,Outlet
Sports Direct,1197831,10/4/2021,South,Texas,Dallas,Men's Street Footwear,30,213,639,281,Outlet
Sports Direct,1197831,4/28/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,33,213,703,330,Outlet
Sports Direct,1197831,9/20/2021,South,Alabama,Birmingham,Women's Street Footwear,47,213,1001,561,Outlet
Foot Locker,1128299,12/22/2021,West,Arizona,Phoenix,Men's Athletic Footwear,33,213,703,323,Outlet
Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,33,210,693,319,Online
Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,36,210,756,454,Online
Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,53,210,1113,690,Online
West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,49,210,1029,319,Online
West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,54,210,1134,306,Online
West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,64,210,1344,672,Online
West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,59,210,1239,607,Online
West Gear,1128299,2/7/2021,West,California,San Francisco,Women's Street Footwear,50,210,1050,420,Online
West Gear,1128299,2/8/2021,West,California,San Francisco,Women's Athletic Footwear,53,210,1113,445,Online
Kohl's,1189833,5/28/2021,West,California,Los Angeles,Women's Athletic Footwear,49,210,1029,515,Online
West Gear,1128299,2/13/2020,West,Nevada,Las Vegas,Men's Street Footwear,62,210,1302,690,Online
West Gear,1128299,7/8/2020,West,Washington,Seattle,Men's Athletic Footwear,77,210,1617,631,Online
Foot Locker,1185732,4/24/2020,Southeast,Florida,Miami,Men's Athletic Footwear,41,210,861,431,Online
Sports Direct,1185732,9/26/2020,Southeast,Florida,Miami,Women's Athletic Footwear,42,210,882,379,Online
Sports Direct,1185732,9/27/2020,Southeast,Florida,Miami,Men's Apparel,50,210,1050,525,Online
Sports Direct,1197831,3/10/2021,Midwest,Montana,Billings,Men's Street Footwear,18,210,378,189,Online
Sports Direct,1197831,5/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,54,210,1134,624,Online
Sports Direct,1197831,9/13/2021,South,Alabama,Birmingham,Men's Athletic Footwear,52,210,1092,710,Online
Foot Locker,1128299,6/10/2021,West,Hawaii,Honolulu,Men's Street Footwear,67,210,1407,563,Online
Foot Locker,1128299,8/10/2021,West,Hawaii,Honolulu,Men's Street Footwear,79,210,1659,614,Online
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Women's Street Footwear,80,210,1680,722,Online
West Gear,1185732,8/9/2021,Northeast,New York,Albany,Men's Athletic Footwear,55,210,1155,520,Online
Sports Direct,1185732,7/15/2021,Midwest,Michigan,Detroit,Women's Apparel,62,210,1302,898,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,65,210,1365,710,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,42,210,882,459,Online
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Men's Street Footwear,46,210,966,531,Online
Kohl's,1128299,12/25/2021,West,New Mexico,Albuquerque,Men's Street Footwear,55,210,1155,531,Online
Foot Locker,1185732,3/5/2021,Southeast,South Carolina,Charleston,Men's Athletic Footwear,32,210,672,329,Online
Foot Locker,1185732,5/5/2021,Southeast,South Carolina,Charleston,Women's Street Footwear,41,210,861,319,Online
Foot Locker,1185732,9/5/2021,Southeast,South Carolina,Charleston,Women's Athletic Footwear,39,210,819,328,Online
Sports Direct,1185732,8/3/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,54,210,1134,601,Online
Sports Direct,1185732,11/3/2021,Southeast,North Carolina,Charlotte,Women's Apparel,72,210,1512,968,Online
Amazon,1185732,10/11/2021,Midwest,Ohio,Columbus,Men's Street Footwear,36,210,756,393,Online
Foot Locker,1185732,6/18/2021,South,Mississippi,Jackson,Men's Street Footwear,44,210,924,480,Online
Walmart,1197831,8/20/2021,South,Arkansas,Little Rock,Men's Street Footwear,55,210,1155,624,Online
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,27,210,567,295,Outlet
Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,36,210,756,393,Outlet
West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,33,210,693,152,Outlet
West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,47,210,987,415,Outlet
West Gear,1128299,2/1/2021,West,California,San Francisco,Women's Street Footwear,42,210,882,291,Outlet
West Gear,1128299,2/8/2021,West,California,San Francisco,Women's Athletic Footwear,37,210,777,225,Outlet
Kohl's,1189833,3/12/2021,West,California,Los Angeles,Women's Apparel,29,210,609,140,Outlet
Kohl's,1189833,4/8/2021,West,California,Los Angeles,Men's Athletic Footwear,34,210,714,207,Outlet
Kohl's,1189833,5/9/2021,West,California,Los Angeles,Women's Street Footwear,38,210,798,359,Outlet
Kohl's,1189833,5/12/2021,West,California,Los Angeles,Women's Apparel,49,210,1029,226,Outlet
Kohl's,1189833,5/17/2021,West,California,Los Angeles,Men's Apparel,46,210,966,599,Outlet
Sports Direct,1197831,8/30/2021,South,Texas,Dallas,Men's Athletic Footwear,21,210,441,176,Outlet
Sports Direct,1197831,9/3/2021,South,Texas,Dallas,Women's Apparel,22,210,462,263,Outlet
Sports Direct,1197831,5/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,44,210,924,471,Outlet
Sports Direct,1197831,9/3/2021,South,Alabama,Birmingham,Women's Athletic Footwear,31,210,651,391,Outlet
Foot Locker,1128299,7/23/2021,Southeast,Virginia,Richmond,Men's Apparel,72,210,1512,650,Outlet
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,55,210,1155,508,Outlet
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Street Footwear,69,210,1449,681,Outlet
West Gear,1197831,5/5/2021,West,Idaho,Boise,Men's Street Footwear,14,210,294,123,Outlet
Sports Direct,1197831,11/5/2021,West,Idaho,Boise,Women's Street Footwear,42,210,882,370,Outlet
Kohl's,1128299,7/25/2021,West,New Mexico,Albuquerque,Men's Athletic Footwear,45,210,945,406,Outlet
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Men's Street Footwear,17,210,357,161,Outlet
West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,37,209,773,348,Online
Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,Women's Athletic Footwear,54,209,1129,485,Online
Foot Locker,1197831,12/4/2021,West,Idaho,Boise,Men's Athletic Footwear,51,209,1066,576,Online
Foot Locker,1185732,4/6/2021,Southeast,South Carolina,Charleston,Women's Apparel,39,209,815,514,Online
Foot Locker,1185732,6/7/2021,Southeast,South Carolina,Charleston,Women's Street Footwear,47,209,982,354,Online
West Gear,1128299,3/10/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,50,209,1045,261,Outlet
Sports Direct,1197831,4/27/2021,South,Tennessee,Knoxville,Men's Street Footwear,40,209,836,418,Outlet
Foot Locker,1197831,1/5/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,20,209,418,150,Outlet
Sports Direct,1128299,8/13/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,39,209,815,375,Outlet
Sports Direct,1128299,12/12/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,42,209,878,413,Outlet
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Women's Athletic Footwear,25,209,523,183,Outlet
Walmart,1185732,7/16/2021,South,Mississippi,Jackson,Women's Apparel,49,209,1024,543,Outlet
Amazon,1185732,7/10/2021,Northeast,Vermont,Burlington,Men's Street Footwear,45,209,941,489,Outlet
West Gear,1128299,2/16/2021,West,California,San Francisco,Women's Apparel,67,208,1394,321,Online
Kohl's,1189833,4/13/2021,West,California,Los Angeles,Men's Street Footwear,41,208,853,443,Online
Sports Direct,1197831,9/22/2021,South,Texas,Dallas,Men's Street Footwear,49,208,1019,520,Online
Sports Direct,1197831,9/23/2021,South,Texas,Dallas,Men's Athletic Footwear,53,208,1102,551,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Women's Apparel,44,208,915,549,Online
West Gear,1185732,9/7/2020,Southeast,Florida,Miami,Women's Street Footwear,49,208,1019,357,Online
West Gear,1185732,9/15/2020,Southeast,Florida,Miami,Men's Apparel,61,208,1269,622,Online
Foot Locker,1128299,7/9/2021,West,Hawaii,Honolulu,Men's Street Footwear,74,208,1539,570,Online
West Gear,1185732,10/10/2021,Northeast,New York,Albany,Men's Street Footwear,57,208,1186,676,Online
Kohl's,1185732,4/11/2021,West,Wyoming,Cheyenne,Men's Street Footwear,39,208,811,503,Online
Kohl's,1185732,9/10/2021,West,Wyoming,Cheyenne,Men's Street Footwear,48,208,998,639,Online
Foot Locker,1197831,7/6/2021,West,Idaho,Boise,Women's Apparel,64,208,1331,919,Online
Foot Locker,1185732,10/7/2021,Southeast,South Carolina,Charleston,Men's Athletic Footwear,42,208,874,437,Online
Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,30,208,624,225,Outlet
Kohl's,1189833,3/18/2021,West,California,Los Angeles,Women's Apparel,32,208,666,173,Outlet
Kohl's,1189833,5/6/2021,West,California,Los Angeles,Women's Apparel,46,208,957,220,Outlet
Kohl's,1189833,5/15/2021,West,California,Los Angeles,Women's Street Footwear,33,208,686,288,Outlet
Kohl's,1189833,5/18/2021,West,California,Los Angeles,Women's Apparel,46,208,957,230,Outlet
West Gear,1128299,2/14/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,56,208,1165,338,Outlet
Walmart,1128299,7/16/2021,Southeast,Florida,Orlando,Men's Apparel,68,208,1414,311,Outlet
Foot Locker,1128299,6/24/2021,Southeast,Virginia,Richmond,Women's Street Footwear,58,208,1206,446,Outlet
Foot Locker,1128299,7/23/2021,Southeast,Virginia,Richmond,Women's Street Footwear,62,208,1290,490,Outlet
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Men's Street Footwear,21,208,437,188,Outlet
West Gear,1128299,6/24/2021,West,Oregon,Portland,Women's Street Footwear,53,208,1102,430,Outlet
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,81,208,1685,691,Outlet
Kohl's,1128299,8/26/2021,West,New Mexico,Albuquerque,Men's Athletic Footwear,44,208,915,403,Outlet
Sports Direct,1185732,5/15/2021,Midwest,Michigan,Detroit,Men's Street Footwear,48,207,994,606,Online
Amazon,1185732,5/9/2021,Midwest,Ohio,Columbus,Men's Street Footwear,42,207,869,435,Online
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,44,206,906,444,Online
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,47,206,968,465,Online
West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,64,206,1318,725,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Athletic Footwear,54,206,1112,545,Online
Sports Direct,1197831,4/16/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,43,206,886,514,Online
Sports Direct,1197831,9/6/2021,South,Alabama,Birmingham,Men's Street Footwear,44,206,906,580,Online
Walmart,1128299,8/17/2021,Southeast,Florida,Orlando,Men's Athletic Footwear,77,206,1586,555,Online
Sports Direct,1185732,6/17/2021,Midwest,Michigan,Detroit,Men's Street Footwear,52,206,1071,664,Online
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,37,206,762,343,Online
Foot Locker,1185732,11/6/2021,Southeast,South Carolina,Charleston,Women's Apparel,74,206,1524,960,Online
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,36,206,742,267,Outlet
Kohl's,1189833,4/9/2021,West,California,Los Angeles,Women's Street Footwear,38,206,783,368,Outlet
Kohl's,1189833,4/18/2021,West,California,Los Angeles,Women's Apparel,43,206,886,195,Outlet
Sports Direct,1197831,8/7/2021,South,Alabama,Birmingham,Men's Street Footwear,16,206,330,155,Outlet
Sports Direct,1197831,9/18/2021,South,Alabama,Birmingham,Men's Street Footwear,38,206,783,431,Outlet
Kohl's,1128299,9/27/2021,West,New Mexico,Albuquerque,Men's Street Footwear,37,206,762,320,Outlet
Walmart,1185732,8/17/2021,South,Mississippi,Jackson,Women's Apparel,42,206,865,476,Outlet
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Men's Street Footwear,22,206,453,199,Outlet
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Men's Street Footwear,15,206,309,145,Outlet
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Men's Street Footwear,18,206,371,163,Outlet
Sports Direct,1185732,6/5/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,40,206,824,387,Outlet
Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,30,204,612,294,Outlet
Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,36,204,734,345,Outlet
West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,48,204,979,313,Outlet
Kohl's,1189833,5/23/2021,West,California,Los Angeles,Men's Apparel,46,204,938,535,Outlet
West Gear,1128299,2/8/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,46,204,938,253,Outlet
Sports Direct,1197831,4/5/2021,South,Tennessee,Knoxville,Women's Street Footwear,14,204,286,131,Outlet
Sports Direct,1197831,5/11/2021,South,Tennessee,Knoxville,Women's Street Footwear,37,204,755,355,Outlet
West Gear,1128299,12/16/2021,Southeast,Florida,Orlando,Women's Street Footwear,64,204,1306,431,Outlet
West Gear,1128299,12/16/2021,Southeast,Florida,Orlando,Women's Athletic Footwear,58,204,1183,402,Outlet
West Gear,1185732,2/10/2021,Southeast,Florida,Orlando,Women's Street Footwear,23,204,469,150,Outlet
West Gear,1185732,7/10/2021,West,Utah,Salt Lake City,Women's Apparel,32,204,653,359,Outlet
West Gear,1128299,7/23/2021,West,Oregon,Portland,Women's Apparel,78,204,1591,557,Outlet
Sports Direct,1128299,9/14/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,31,204,632,291,Outlet
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Street Footwear,19,204,388,174,Outlet
Kohl's,1197831,2/14/2021,South,Oklahoma,Oklahoma City,Men's Street Footwear,18,204,367,147,Outlet
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,34,203,690,442,Online
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,34,203,690,317,Online
Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,38,203,771,440,Online
Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,48,203,974,536,Online
West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,55,203,1117,525,Online
West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,62,203,1259,378,Online
West Gear,1128299,12/30/2020,West,California,San Francisco,Women's Apparel,72,203,1462,395,Online
West Gear,1128299,1/27/2021,West,California,San Francisco,Women's Athletic Footwear,53,203,1076,377,Online
West Gear,1128299,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,51,203,1035,373,Online
Kohl's,1189833,2/17/2021,West,California,San Francisco,Men's Street Footwear,32,203,650,331,Online
Kohl's,1189833,4/21/2021,West,California,Los Angeles,Women's Street Footwear,48,203,974,536,Online
Kohl's,1189833,4/30/2021,West,California,Los Angeles,Women's Apparel,59,203,1198,359,Online
Sports Direct,1197831,9/30/2021,South,Texas,Dallas,Women's Street Footwear,59,203,1198,635,Online
Sports Direct,1197831,10/3/2021,South,Texas,Dallas,Women's Apparel,48,203,974,682,Online
West Gear,1128299,5/20/2020,West,Colorado,Denver,Men's Street Footwear,59,203,1198,623,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Women's Street Footwear,32,203,650,260,Online
Sports Direct,1185732,10/1/2020,Southeast,Florida,Miami,Women's Street Footwear,47,203,954,372,Online
Kohl's,1189833,2/2/2021,Midwest,Montana,Billings,Men's Street Footwear,37,203,751,443,Online
Kohl's,1189833,2/8/2021,Midwest,Montana,Billings,Men's Street Footwear,42,203,853,495,Online
Sports Direct,1197831,8/1/2021,Midwest,Nebraska,Omaha,Men's Street Footwear,19,203,386,204,Online
Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,Men's Street Footwear,9,203,183,108,Online
Sports Direct,1197831,8/30/2021,South,Alabama,Birmingham,Women's Apparel,43,203,873,628,Online
Sports Direct,1197831,8/31/2021,South,Alabama,Birmingham,Men's Street Footwear,43,203,873,480,Online
Sports Direct,1197831,9/1/2021,South,Alabama,Birmingham,Men's Athletic Footwear,49,203,995,557,Online
Sports Direct,1197831,10/11/2021,South,Alabama,Birmingham,Women's Apparel,68,203,1380,1104,Online
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Men's Athletic Footwear,64,203,1299,455,Online
Foot Locker,1128299,7/23/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,81,203,1644,822,Online
Sports Direct,1185732,1/19/2021,Southeast,Virginia,Richmond,Men's Street Footwear,34,203,690,421,Online
Foot Locker,1185732,7/17/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,36,203,731,402,Online
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,38,203,771,386,Online
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Men's Street Footwear,33,203,670,335,Online
West Gear,1185732,12/10/2021,West,Utah,Salt Lake City,Men's Street Footwear,39,203,792,435,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,83,203,1685,927,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,92,203,1868,1027,Online
West Gear,1197831,5/5/2021,West,Idaho,Boise,Men's Street Footwear,18,203,365,183,Online
Kohl's,1128299,6/26/2021,West,New Mexico,Albuquerque,Men's Street Footwear,52,203,1056,507,Online
Kohl's,1128299,7/25/2021,West,New Mexico,Albuquerque,Men's Street Footwear,54,203,1096,515,Online
Sports Direct,1128299,12/12/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,50,203,1015,558,Online
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Women's Athletic Footwear,34,203,690,304,Online
Sports Direct,1185732,2/4/2021,Southeast,North Carolina,Charlotte,Women's Apparel,29,203,589,353,Online
Sports Direct,1185732,5/2/2021,Southeast,North Carolina,Charlotte,Women's Apparel,51,203,1035,642,Online
Sports Direct,1185732,7/2/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,52,203,1056,538,Online
Sports Direct,1185732,9/2/2021,Southeast,North Carolina,Charlotte,Women's Apparel,41,203,832,508,Online
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Men's Street Footwear,47,203,954,515,Online
Walmart,1197831,6/21/2021,South,Arkansas,Little Rock,Men's Street Footwear,36,203,731,365,Online
West Gear,1197831,12/19/2021,South,Arkansas,Little Rock,Men's Street Footwear,67,203,1360,748,Online
Sports Direct,1197831,8/23/2021,South,Texas,Dallas,Men's Street Footwear,21,203,426,166,Outlet
Sports Direct,1197831,9/29/2021,South,Texas,Dallas,Men's Athletic Footwear,38,203,771,363,Outlet
Sports Direct,1197831,3/28/2021,South,Tennessee,Knoxville,Men's Street Footwear,13,203,264,119,Outlet
Sports Direct,1197831,3/29/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,17,203,345,145,Outlet
Sports Direct,1197831,4/29/2021,South,Tennessee,Knoxville,Women's Street Footwear,40,203,812,414,Outlet
Sports Direct,1197831,5/9/2021,South,Tennessee,Knoxville,Men's Street Footwear,24,203,487,234,Outlet
Sports Direct,1197831,9/17/2021,South,Alabama,Birmingham,Women's Apparel,39,203,792,562,Outlet
Sports Direct,1197831,9/5/2021,West,Idaho,Boise,Women's Street Footwear,43,203,873,393,Outlet
Sports Direct,1197831,11/5/2021,West,Idaho,Boise,Men's Street Footwear,27,203,548,252,Outlet
Sports Direct,1128299,6/13/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,35,203,711,306,Outlet
Amazon,1185732,8/18/2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,48,203,974,448,Outlet
West Gear,1128299,2/10/2021,West,California,San Francisco,Women's Apparel,67,202,1353,284,Online
West Gear,1128299,4/20/2020,West,Colorado,Denver,Men's Street Footwear,64,202,1293,776,Online
Sports Direct,1185732,10/8/2020,Southeast,Florida,Miami,Women's Athletic Footwear,49,202,990,436,Online
Foot Locker,1185732,5/24/2020,Southeast,Florida,Miami,Men's Apparel,60,202,1212,594,Online
